file	grade	loe
src/ui/frontend/src/lib/analysisUpshot.ts	B	1
src/ui/frontend/src/lib/api.ts	B	1
src/ui/frontend/src/lib/artifactBlobHasContent.ts	A	
src/ui/frontend/src/lib/authPassthrough.ts	A	
src/ui/frontend/src/lib/authSessionPolicy.ts	A	
src/ui/frontend/src/lib/candidateJobActions.ts	A	
src/ui/frontend/src/lib/candidateLabel.ts	A	
src/ui/frontend/src/lib/copyJobSnapshot.ts	A	
src/ui/frontend/src/lib/documentTitle.ts	A	
src/ui/frontend/src/lib/fmt.ts	A	
src/ui/frontend/src/lib/listTableLayout.ts	A	
src/ui/frontend/src/lib/recommendedJobReport.tsx	B	1
src/ui/frontend/src/lib/rubricDisplay.ts	A	
src/ui/frontend/src/lib/sessionAuthMark.ts	A	
src/ui/frontend/src/lib/sessionExtend.ts	A	
src/ui/frontend/src/lib/stateUiSections.ts	A	
src/ui/frontend/src/lib/stytchAuthenticateHandoff.ts	A	
src/ui/frontend/src/lib/stytchClient.ts	X	
src/ui/frontend/src/lib/stytchRedirect.ts	A	
src/ui/frontend/src/lib/taskKeySort.ts	A	
src/ui/frontend/src/lib/timesheetCost.ts	A	
src/ui/frontend/src/lib/toastDiagnostics.ts	A	
src/ui/frontend/src/lib/uiConfig.ts	A	
src/ui/frontend/src/lib/useListTableColumnMeasure.ts	C	1
src/ui/frontend/src/lib/useLocalStorage.ts	A	
src/ui/frontend/src/main.tsx	X	
src/ui/frontend/src/pages/AdminAgentPrompts.tsx	D	1
src/ui/frontend/src/pages/AdminAgentTimesheets.tsx	D	2
src/ui/frontend/src/pages/AdminAnthropicAdHoc.tsx	C	1
src/ui/frontend/src/pages/AdminCostReconciliation.tsx	C	1
src/ui/frontend/src/pages/AdminDataManagement.tsx	D	2
src/ui/frontend/src/pages/AdminManageCandidates.tsx	C	1
src/ui/frontend/src/pages/AdminManageEmail.tsx	C	1
src/ui/frontend/src/pages/AdminManageSlack.tsx	A	
src/ui/frontend/src/pages/AdminPerformanceMonitor.tsx	D	2
src/ui/frontend/src/pages/AdminScheduledActions.tsx	C	1
src/ui/frontend/src/pages/AdminScheduledQueries.tsx	A	
src/ui/frontend/src/pages/AdminSessionCoverLetter.tsx	A	
src/ui/frontend/src/pages/AdminSessionResumePaste.tsx	A	
src/ui/frontend/src/pages/AdminTaskPrompts.tsx	C	2
src/ui/frontend/src/pages/AdminVectorFeedback.tsx	C	1
src/ui/frontend/src/pages/ArtifactsBaseResumeContent.tsx	C	1
src/ui/frontend/src/pages/ArtifactsCompanySearchTerms.tsx	A	
src/ui/frontend/src/pages/ArtifactsCompanyWatchCriteria.tsx	A	
src/ui/frontend/src/pages/ArtifactsDoJobCriteria.tsx	A	
src/ui/frontend/src/pages/ArtifactsGetJobCriteria.tsx	A	
src/ui/frontend/src/pages/ArtifactsJobDescCriteria.tsx	A	
src/ui/frontend/src/pages/ArtifactsJobListCriteria.tsx	A	
src/ui/frontend/src/pages/ArtifactsLikeJobCriteria.tsx	A	
src/ui/frontend/src/pages/ArtifactsMeteoriteCriteria.tsx	A	
src/ui/frontend/src/pages/Authenticate.tsx	A	
src/ui/frontend/src/pages/CandidateBackstory.tsx	A	
src/ui/frontend/src/pages/CandidateDealBreakers.tsx	A	
src/ui/frontend/src/pages/CandidateIdealDay.tsx	A	
src/ui/frontend/src/pages/CandidateIntake.tsx	C	1
src/ui/frontend/src/pages/CandidatePriorities.tsx	A	
src/ui/frontend/src/pages/CandidateProfile.tsx	C	1
src/ui/frontend/src/pages/CandidateStrengths.tsx	A	
src/ui/frontend/src/pages/CandidateSurfer.tsx	A	
src/ui/frontend/src/pages/CandidateSurferConsent.tsx	C	1
src/ui/frontend/src/pages/CandidateWritingPreferences.tsx	A	
src/ui/frontend/src/pages/CompaniesIgnored.tsx	A	
src/ui/frontend/src/pages/CompaniesInactiveList.tsx	A	
src/ui/frontend/src/pages/CompaniesNewList.tsx	A	
src/ui/frontend/src/pages/CompaniesWatchHistory.tsx	A	
src/ui/frontend/src/pages/CompaniesWatchList.tsx	A	
src/ui/frontend/src/pages/JobsApplied.tsx	A	
src/ui/frontend/src/pages/JobsInReview.tsx	C	1
src/ui/frontend/src/pages/JobsRecommended.tsx	C	1
src/ui/frontend/src/pages/JobsResponded.tsx	A	
src/ui/frontend/src/pages/JobsSkipped.tsx	C	1
src/ui/frontend/src/pages/LogOffScreen.tsx	A	
src/ui/frontend/src/pages/Login.tsx	A	
src/ui/frontend/src/routes.tsx	A	
